委托单编号,装点,装点经度,装点纬度,卸点,卸点经度,卸点纬度,货物类型,运量,起始日期,截止日期,单价（元/吨或元/车）
WTD202201100144,内蒙古自治区鄂尔多斯市准格尔旗曹羊复线西50米,110.587367,39.515058,好力歹奶牛小区,118.926975,40.412204,煤,50000,2021-12-31T00:00:00.000+08:00,2023-01-01T00:00:00.000+08:00,290
WTD202201100132,内蒙古自治区鄂尔多斯市准格尔旗曹羊复线西50米,110.587367,39.515058,敖汉营子,118.78024,43.144641,煤,50000,2021-12-31T00:00:00.000+08:00,2022-12-30T00:00:00.000+08:00,275
WTD202201100131,内蒙古自治区鄂尔多斯市准格尔旗曹羊复线西50米,110.587367,39.515058,太平地村,118.244133,41.848847,煤,50000,2021-12-31T00:00:00.000+08:00,2022-12-31T00:00:00.000+08:00,260
WTD202201100130,内蒙古自治区鄂尔多斯市准格尔旗曹羊复线西50米,110.587367,39.515058,双胜派出所,116.455854,39.892757,煤,50000,2021-12-31T00:00:00.000+08:00,2022-12-31T00:00:00.000+08:00,320
WTD202201100128,内蒙古自治区鄂尔多斯市准格尔旗曹羊复线西50米,110.587367,39.515058,好力歹奶牛小区,116.455854,39.892757,煤,50000,2021-12-31T00:00:00.000+08:00,2022-12-31T00:00:00.000+08:00,340
WTD202201100125,内蒙古自治区鄂尔多斯市准格尔旗曹羊复线西50米,110.587367,39.515058,城郊办事处团结屯,116.409836,39.98491,煤,500000,2022-01-05T00:00:00.000+08:00,2022-12-30T00:00:00.000+08:00,330
WTD202202180214,恒东集团忽沙图二矿,116.586642,39.802688,明华集装站,116.071443,39.819998,煤,999999,2022-01-26T00:00:00.000+08:00,2022-12-31T23:59:59.000+08:00,85
WTD202201290009,四道柳煤矿,116.437909,39.959804,灵丘大涧金源祥煤厂,114.305717,39.482148,原煤,999999,2022-01-07T00:00:00.000+08:00,2022-12-31T23:59:59.000+08:00,175
WTD202201170133,四道柳煤矿,116.437909,39.959804,灵丘大涧金源祥煤厂,114.305717,39.482148,原煤,999999,2022-01-07T00:00:00.000+08:00,2022-12-31T23:59:59.000+08:00,160
WTD202202280118,内蒙古自治区鄂尔多斯市准格尔旗杨家也,110.271133,39.699082,沙圪堵镇府谷古城集运有限公司,109.811088,39.930931,原煤,999999,2022-02-21T00:00:00.000+08:00,2022-06-30T23:59:59.000+08:00,60
WTD202201020039,准格尔召小学南侧350米,110.214733,39.695329,开曼铝业有限公司,116.35763,39.94523,面煤,10000,2022-01-02T10:44:00.000+08:00,2022-08-30T00:00:00.000+08:00,340
WTD202202250128,隆辰煤厂,116.321535,39.624749,城郊办事处团结屯,116.409836,39.98491,煤,50000,2021-12-31T00:00:00.000+08:00,2022-12-31T23:59:59.000+08:00,365
